pairname,comparison_id,prot1,chain1,prot2,chain2,protein1_residues,protein2_residues,alignment_score
d1a05a_-A_183-d1dgsa3-A_184,d1a05a_d1dgsa3,d1a05a_,A,d1dgsa3,A,"(111, 156)","(147, 192)",67.96182400829824
d1a05a_-A_185-d1j71a_-A_186,d1a05a_d1j71a_,d1a05a_,A,d1j71a_,A,"(83, 112)","(135, 164)",57.191904066372686
d1a05a_-A_187-d1rblm_-M_188,d1a05a_d1rblm_,d1a05a_,A,d1rblm_,M,"(160, 177)","(18, 35)",36.24176171381356
d1a2za_-A_0-d1ghha_-A_1,d1a2za_d1ghha_,d1a2za_,A,d1ghha_,A,"(189, 206)","(55, 72)",32.91370492485343
d1a2za_-A_2-d1u9da_-A_3,d1a2za_d1u9da_,d1a2za_,A,d1u9da_,A,"(189, 214)","(77, 102)",53.09083647450324
d1a7j__-A_4-d1kafa_-A_5,d1a7j__d1kafa_,d1a7j__,A,d1kafa_,A,"(219, 272)","(55, 108)",115.73195048732603
d1a7j__-A_6-d2if1__-A_7,d1a7j__d2if1__,d1a7j__,A,d2if1__,A,"(215, 238)","(52, 75)",44.6170810974661
d1aa7a_-A_189-d1b68a_-A_190,d1aa7a_d1b68a_,d1aa7a_,A,d1b68a_,A,"(64, 76)","(57, 69)",16.196539572954084
d1aa7a_-A_191-d1qkra_-A_192,d1aa7a_d1qkra_,d1aa7a_,A,d1qkra_,A,"(98, 158)","(112, 172)",90.13110462919302
d1ac5__-A_8-d1jroa3-A_9,d1ac5__d1jroa3,d1ac5__,A,d1jroa3,A,"(453, 477)","(426, 450)",45.34785713399831
d1ac5__-A_10-d1vk0a_-A_11,d1ac5__d1vk0a_,d1ac5__,A,d1vk0a_,A,"(411, 444)","(50, 83)",80.57398154558747
d1adja2-A_12-d1drw_2-A_13,d1adja2d1drw_2,d1adja2,A,d1drw_2,A,"(136, 169)","(129, 162)",55.462419178650435
d1aora2-A_193-d1dkza2-A_194,d1aora2d1dkza2,d1aora2,A,d1dkza2,A,"(53, 156)","(28, 135)",79.26413586825669
d1axn__-A_195-d1nkta3-A_196,d1axn__d1nkta3,d1axn__,A,d1nkta3,A,"(209, 222)","(459, 472)",23.285264808961458
d1axn__-A_197-d1sf9a_-A_198,d1axn__d1sf9a_,d1axn__,A,d1sf9a_,A,"(0, 9)","(4, 13)",18.63636972479432
d1b05a_-A_14-d1lc0a2-A_15,d1b05a_d1lc0a2,d1b05a_,A,d1lc0a2,A,"(225, 259)","(75, 109)",62.03706147666116
d1b05a_-A_16-d1nkia_-A_17,d1b05a_d1nkia_,d1b05a_,A,d1nkia_,A,"(248, 277)","(73, 102)",51.59875009362841
d1b0pa2-A_18-d1k0da2-A_19,d1b0pa2d1k0da2,d1b0pa2,A,d1k0da2,A,"(266, 319)","(2, 55)",73.51225420212559
d1b3qa2-A_199-d1bia_2-A_200,d1b3qa2d1bia_2,d1b3qa2,A,d1bia_2,A,"(139, 158)","(174, 193)",40.48727165642824
d1b62a2-A_20-d1i6pa_-A_21,d1b62a2d1i6pa_,d1b62a2,A,d1i6pa_,A,"(26, 52)","(74, 100)",41.42289772533299
d1b6ra1-A_201-d1k8kd1-D_202,d1b6ra1d1k8kd1,d1b6ra1,A,d1k8kd1,D,"(298, 316)","(210, 228)",34.25873507972849
d1b6ra1-A_203-d1v97a4-A_204,d1b6ra1d1v97a4,d1b6ra1,A,d1v97a4,A,"(299, 324)","(621, 646)",50.41221669981357
d1ce8a6-A_22-d1di2a_-A_23,d1ce8a6d1di2a_,d1ce8a6,A,d1di2a_,A,"(381, 400)","(42, 61)",43.07857619152182
d1chma1-A_24-d1g62a_-A_25,d1chma1d1g62a_,d1chma1,A,d1g62a_,A,"(116, 146)","(110, 140)",72.48471546396961
d1cs1a_-A_26-d1q8ia1-A_27,d1cs1a_d1q8ia1,d1cs1a_,A,d1q8ia1,A,"(244, 275)","(501, 532)",68.85230673600256
d1d7ba_-A_28-d1svb_2-A_29,d1d7ba_d1svb_2,d1d7ba_,A,d1svb_2,A,"(21, 54)","(305, 338)",75.26774353099496
d1dc1a_-A_30-d1nf2a_-A_31,d1dc1a_d1nf2a_,d1dc1a_,A,d1nf2a_,A,"(284, 310)","(238, 264)",62.87917814449627
d1dc1a_-A_32-d1rblm_-M_33,d1dc1a_d1rblm_,d1dc1a_,A,d1rblm_,M,"(135, 162)","(21, 48)",54.46936118256131
d1dmza_-A_34-d1hdha_-A_35,d1dmza_d1hdha_,d1dmza_,A,d1hdha_,A,"(55, 78)","(141, 164)",51.987860737138504
d1ds1a_-A_36-d1tig__-A_37,d1ds1a_d1tig__,d1ds1a_,A,d1tig__,A,"(89, 111)","(48, 70)",49.26609361897509
d1dzka_-A_38-d1qd1b2-B_39,d1dzka_d1qd1b2,d1dzka_,A,d1qd1b2,B,"(95, 135)","(223, 263)",72.65748900360103
d1dzta_-A_40-d1kpf__-A_41,d1dzta_d1kpf__,d1dzta_,A,d1kpf__,A,"(122, 143)","(89, 110)",40.98502528842823
d1e3pa3-A_42-d1gpqa_-A_43,d1e3pa3d1gpqa_,d1e3pa3,A,d1gpqa_,A,"(483, 507)","(75, 99)",61.34821762849216
d1e3pa3-A_44-d1tis__-A_45,d1e3pa3d1tis__,d1e3pa3,A,d1tis__,A,"(445, 489)","(169, 213)",95.18862252270439
d1ecfa2-A_46-d1unnc_-C_47,d1ecfa2d1unnc_,d1ecfa2,A,d1unnc_,C,"(26, 50)","(41, 65)",54.89483900551198
d1efdn_-N_48-d1d1ra_-A_49,d1efdn_d1d1ra_,d1efdn_,N,d1d1ra_,A,"(139, 151)","(0, 12)",26.6819172499922
d1efdn_-N_50-d1r0va3-A_51,d1efdn_d1r0va3,d1efdn_,N,d1r0va3,A,"(133, 159)","(74, 100)",56.17812950422168
d1eg3a1-A_205-d1paqa_-A_206,d1eg3a1d1paqa_,d1eg3a1,A,d1paqa_,A,"(76, 131)","(16, 71)",53.908931388484675
d1ert__-A_52-d1jr3d2-D_53,d1ert__d1jr3d2,d1ert__,A,d1jr3d2,D,"(2, 50)","(0, 46)",49.43621854595139
d1fbxa_-A_54-d1o08a_-A_55,d1fbxa_d1o08a_,d1fbxa_,A,d1o08a_,A,"(38, 69)","(48, 79)",63.65288245412856
d1fy2a_-A_56-d1qmha1-A_57,d1fy2a_d1qmha1,d1fy2a_,A,d1qmha1,A,"(30, 68)","(184, 221)",38.626436676663744
d1g99a1-A_58-d1gqyb3-B_59,d1g99a1d1gqyb3,d1g99a1,A,d1gqyb3,B,"(371, 398)","(443, 470)",59.40946783914757
d1g99a1-A_60-d1izna_-A_61,d1g99a1d1izna_,d1g99a1,A,d1izna_,A,"(47, 71)","(202, 226)",60.97939677491728
d1gc5a_-A_62-d1omha_-A_63,d1gc5a_d1omha_,d1gc5a_,A,d1omha_,A,"(156, 171)","(113, 128)",36.210376601427804
d1gx3a_-A_64-d1epaa_-A_65,d1gx3a_d1epaa_,d1gx3a_,A,d1epaa_,A,"(153, 176)","(36, 59)",56.97839825437785
d1gx3a_-A_66-d1pbya5-A_67,d1gx3a_d1pbya5,d1gx3a_,A,d1pbya5,A,"(153, 169)","(191, 207)",38.57206885979404
d1gxja_-A_207-d1p5dx3-X_208,d1gxja_d1p5dx3,d1gxja_,A,d1p5dx3,X,"(122, 153)","(296, 327)",68.95348503362831
d1h0hb_-B_68-d1hz6b_-B_69,d1h0hb_d1hz6b_,d1h0hb_,B,d1hz6b_,B,"(160, 204)","(19, 63)",84.28835936453535
d1h5wa_-A_209-d2cbla2-A_211,d1h5wa_d2cbla2,d1h5wa_,A,d2cbla2,A,"(243, 250)","(299, 306)",10.214823071940781
d1h5wa_-B_210-d2cbla2-A_211,d1h5wa_d2cbla2,d1h5wa_,B,d2cbla2,A,"(249, 256)","(299, 306)",10.756816191830929
d1h6da2-A_70-d1kjka_-A_71,d1h6da2d1kjka_,d1h6da2,A,d1kjka_,A,"(325, 342)","(32, 49)",28.720636192123962
d1hbnb2-B_72-d1aisb2-B_73,d1hbnb2d1aisb2,d1hbnb2,B,d1aisb2,B,"(298, 326)","(138, 166)",39.78015260607539
d1hi9a_-A_74-d1rpua_-A_75,d1hi9a_d1rpua_,d1hi9a_,A,d1rpua_,A,"(240, 275)","(101, 136)",54.95700057442742
d1hrda1-A_76-d1rp3a3-A_77,d1hrda1d1rp3a3,d1hrda1,A,d1rp3a3,A,"(0, 18)","(4, 22)",37.84849730818122
d1htjf_-F_78-d1gnla_-A_79,d1htjf_d1gnla_,d1htjf_,F,d1gnla_,A,"(30, 81)","(37, 88)",97.45219187026414
